title,location,building_location1,building_location2,area,direction,type,description,price
蚕种场小区,房山,良乡,蚕种场小区,80,南 北,2室1厅1卫,BJ1712330277952421888,3100
张仪村4号院,丰台,青塔,张仪村4号院,60,东 西,1室1厅1卫,BJ1706521482697375744,3500
韩建青春誌,房山,良乡,韩建青春誌,42,南,1室1厅1卫,BJ1712409069454622720,2800
黄村东里,大兴,黄村中,黄村东里,69,南 北,2室1厅1卫,BJ1705526324958855168,3100
西马庄园,通州,通州北苑,西马庄园,60,东 北,1室1厅1卫,BJ1716780199183384576,3500
土沟新村,昌平,小汤山,土沟新村,74,南 北,2室1厅1卫,BJ1707301361118347264,2500
黑山A1区,门头沟,大峪,黑山A1区,65,南,2室1厅1卫,BJ1712760773291278336,3000
中晟馨苑2号院,顺义,马坡,中晟馨苑2号院,80,南 北,2室1厅1卫,BJ1695345562133463040,3300
宏塔社区,房山,燕山,宏塔社区,59,南 北,2室1厅1卫,BJ1716654514599100416,1700
天恒乐活城,房山,阎村,天恒乐活城,76,南,2室1厅1卫,BJ1712688267586961408,3000
康盛园,大兴,高米店,康盛园,76,南 北,2室1厅1卫,BJ1715304476358737920,3900
设计师广场,丰台,科技园区,设计师广场,48,东北,1室0厅1卫,BJ1701548537218596864,4000
紫薇苑,石景山,古城,紫薇苑,46,南,1室0厅1卫,BJ1718904606622220288,4000
西环里,昌平,西关环岛,西环里,53,南 北,2室1厅1卫,BJ1712724696811700224,3800
杨庄路73号院,通州,通州北苑,杨庄路73号院,65,南 北,2室1厅1卫,BJ1718924142612316160,3900
双桥五号井,朝阳,双桥,双桥五号井,60,南 北,2室1厅1卫,BJ1716440425339813888,3600
鸿坤理想城派郡18号院,大兴,西红门,鸿坤理想城派郡18号院,77,西南,1室1厅1卫,BJ1717033980894642176,4000
西营前街,通州,万达,西营前街,50,南 北,2室1厅1卫,BJ1700065633607090176,3600
和义东里四区,丰台,和义,和义东里四区,54,东 西,2室1厅1卫,BJ1706564862986944512,3800
西安街4号院,丰台,北大地,西安街4号院,51,南 北,1室1厅1卫,BJ1682618062768963584,3800
观音寺南里,大兴,观音寺,观音寺南里,88,南 北,2室1厅1卫,BJ1717018933803876352,3600
京贸家园,通州,武夷花园,京贸家园,75,南 北,2室1厅1卫,BJ1705083122590154752,3800
军留庄小区,房山,长阳,军留庄小区,86,南 北,2室1厅1卫,BJ1694664556548194304,4000
东兴二区,顺义,顺义城,东兴二区,94,南 北,3室2厅1卫,BJ1694192880463118336,3600
西悦雅居,房山,长阳,西悦雅居,87,南 北,2室1厅1卫,BJ1691725373689036800,3900
荣丰2008,西城,广安门,荣丰2008,22,北,1室0厅1卫,BJ1719012074039803904,3700
新城国誉府,顺义,马坡,新城国誉府,80,东 西,2室2厅1卫,BJ1711233538159804416,3800
FCC中央城,房山,长阳,FCC中央城,40,西,2房间2卫,BJ1704368841708011520,3800
前进花园石门苑,顺义,顺义城,前进花园石门苑,92,南 北,2室1厅1卫,BJ1649269302047539200,4000
FCC中央城,房山,长阳,FCC中央城,42,西,2房间2卫,BJ1699323970181922816,4000
国融国际,亦庄开发区,亦庄,国融国际,33,北,1室0厅1卫,BJ1668143695024619520,3800
星河城东区,丰台,马家堡,星河城东区,62,北,1室1厅1卫,BJ1694684710074056704,4000
古韵新居,通州,潞苑,古韵新居,71,南 北,2室1厅1卫,BJ1709492350830510080,3800
万科幸福汇,房山,窦店,万科幸福汇,117,南 北,3室2厅2卫,BJ1718986740363952128,4000
河畔丽景,通州,武夷花园,河畔丽景,74,西,1室1厅1卫,BJ1716357220926488576,3600
天宫院小区,大兴,天宫院,天宫院小区,89,南 北,2室1厅1卫,BJ1715992549388189696,4000
五和万科长阳天地9号院,房山,长阳,五和万科长阳天地9号院,52,南,3房间2卫,BJ1701912297384968192,3600
龙府花园,顺义,顺义城,龙府花园,80,南 北,2室1厅1卫,BJ1657946396050849792,3888
茶贸国际中心,西城,马连道,茶贸国际中心,32,南 西,1房间1卫,BJ1709463955539230720,3950
波普公社,大兴,枣园,波普公社,66,西,2房间1卫,BJ1691356064202620928,4000
幸福东区,顺义,顺义城,幸福东区,81,南 北,2室1厅1卫,BJ1707344041655402496,3800
永丰里B区,通州,通州其它,永丰里B区,80,南 北,2室1厅1卫,BJ1707607331040133120,3700
茶贸国际中心,西城,马连道,茶贸国际中心,34,东,1房间1卫,BJ1707635913896493056,3800
金福苑,石景山,苹果园,金福苑,57,南,1室0厅1卫,BJ1705124505225003008,3600
建新北区,顺义,顺义城,建新北区,55,南 北,2室1厅1卫,BJ1718571693363953664,4000
御景春天A区,丰台,科技园区,御景春天A区,48,西,1室1厅1卫,BJ1718528131079340032,4000
如意园,通州,万达,如意园,91,东 西,2室1厅1卫,BJ1718509104890118144,4000
金融街融汇,大兴,天宫院,金融街融汇,52,东 西,1室1厅1卫,BJ1718559162805256192,3780
南五里店45号院,丰台,五里店,南五里店45号院,55,南 北,2室1厅1卫,BJ1718554181297504256,3600
葛布店南里,通州,果园,葛布店南里,60,南 北,2室1厅1卫,BJ1718581204652916736,3580
站前巴黎,通州,梨园,站前巴黎,67,南,1室1厅1卫,BJ1700142631352270848,3900
青年公寓,石景山,苹果园,青年公寓,47,南,1室1厅1卫,BJ1700360035797827584,3600
西辛南区,顺义,顺义城,西辛南区,79,南 北,2室1厅1卫,BJ1700387357888348160,3900
八角中里,石景山,八角,八角中里,50,南,1室1厅1卫,BJ1700435962888192000,3700
设计师广场,丰台,科技园区,设计师广场,48,西南,1室1厅1卫,BJ1700401701489475584,4000
荣丰2008,西城,广安门,荣丰2008,26,西,1室0厅1卫,BJ1700445976256315392,3800
荣丰2008,西城,广安门,荣丰2008,24,南 北,1室0厅1卫,BJ1700464099789373440,3800
东高地,丰台,万源,东高地,60,东 西,2室1厅1卫,BJ1705217222709870592,3700
新通国际花园,通州,梨园,新通国际花园,51,东北,1室0厅1卫,BJ1705215212384157696,4000
西营前街,通州,万达,西营前街,57,南 北,2室1厅1卫,BJ1705420101148213248,3800
红石座,昌平,东关,红石座,57,东南,2房间1卫,BJ1705527958178889728,3800
富丰园小区,丰台,科技园区,富丰园小区,48,南 北,1室1厅1卫,BJ1705779673050382336,3700
太平路甲20号院,海淀,五棵松,太平路甲20号院,41,南,1室1厅1卫,BJ1707654507220959232,3700
荔景园新区,通州,武夷花园,荔景园新区,89,南 北,2室1厅1卫,BJ1707682925056622592,3700
明天生活馆,朝阳,立水桥,明天生活馆,42,西,1房间1卫,BJ1708003738075004928,4000
双锦园,石景山,鲁谷,双锦园,50,南,1室1厅1卫,BJ1708090554031538176,4000
熙旺中心,门头沟,滨河西区,熙旺中心,69,东 南,2房间1卫,BJ1708361202935005184,3900
设计师广场,丰台,科技园区,设计师广场,47,西南,1室0厅1卫,BJ1708012567210754048,4000
紫晶七星广场,昌平,回龙观,紫晶七星广场,37,东,1房间1卫,BJ1708013779532382208,4000
孙各庄家园西区,通州,潞苑,孙各庄家园西区,87,南,2室1厅1卫,BJ1708323308216254464,3700
十万坪,石景山,古城,十万坪,44,南,2室1厅1卫,BJ1708367626788405248,4000
义宾北区,顺义,顺义城,义宾北区,63,南,2室1厅1卫,BJ1708718107075280896,3600
东领鉴筑,朝阳,定福庄,东领鉴筑,50,北,1室0厅1卫,BJ1708748488138817536,4000
黄村西里,大兴,黄村中,黄村西里,60,南 北,2室1厅1卫,BJ1705845874715787264,4000
石门营新区六区,门头沟,石门营,石门营新区六区,64,南 北,2室1厅1卫,BJ1709480131132653568,3600
高井,石景山,石景山其它,高井,58,南 北,2室1厅1卫,BJ1709567294574690304,3600
康庄路52号院,大兴,枣园,康庄路52号院,84,南,2室1厅1卫,BJ1709769822696374272,4000
滨河西里南区,大兴,枣园,滨河西里南区,60,南 北,2室1厅1卫,BJ1707644438227976192,4000
新通国际花园,通州,梨园,新通国际花园,52,西,1室0厅1卫,BJ1718116079512846336,3900
五建小区,朝阳,定福庄,五建小区,45,南,1室1厅1卫,BJ1717030403774087168,4000
都市芳园锦湖园,昌平,天通苑,都市芳园锦湖园,93,南 北,2室1厅1卫,BJ1719272862226841600,4000
DBC加州小镇C区,通州,临河里,DBC加州小镇C区,92,南 北,2室2厅1卫,BJ1695086221266518016,3700
东亚首航国际,顺义,顺义其它,东亚首航国际,60,南,2房间1卫,BJ1717862710265249792,3600
大方居,通州,九棵树(家乐福),大方居,89,东 西,2室1厅1卫,BJ1718847875602972672,4000
卢沟桥南里,丰台,卢沟桥,卢沟桥南里,52,南 北,2室1厅1卫,BJ1718852378767130624,3800
绿地中央广场,大兴,高米店,绿地中央广场,58,南,1房间1卫,BJ1718913961996320768,4000
集贤雅苑北区,大兴,旧宫,集贤雅苑北区,50,南,1室1厅1卫,BJ1718825357940883456,3700
首座御园一期,大兴,枣园,首座御园一期,77,南 北,2室1厅1卫,BJ1718125611966267392,3800
西悦欣居,房山,长阳,西悦欣居,88,南 北,2室1厅1卫,BJ1718204863063523328,3900
设计师广场,丰台,科技园区,设计师广场,45,东南 南,1室1厅1卫,BJ1718454585787416576,3980
熙旺中心,门头沟,滨河西区,熙旺中心,66,南,2房间1卫,BJ1718513471152193536,4000
智汇雅苑,房山,良乡,智汇雅苑,89,南 北,2室1厅1卫,BJ1718591921871388672,4000
紫薇苑,石景山,古城,紫薇苑,45,南,1室0厅1卫,BJ1718833882310115328,4000
水碾屯东里,房山,长阳,水碾屯东里,90,南 北,2室1厅1卫,BJ1718879012438147072,3800
滨河西里北区,大兴,枣园,滨河西里北区,67,东 西,2室1厅1卫,BJ1718912895162515456,3900
工业经委宿舍楼,昌平,西关环岛,工业经委宿舍楼,89,南 北,3室1厅1卫,BJ1700506621207117824,3900
首创新悦都二区,房山,长阳,首创新悦都二区,71,东 西,2室1厅1卫,BJ1700505221999886336,3600
龙府花园,顺义,顺义城,龙府花园,80,南 北,3室1厅1卫,BJ1700344098566701056,3800
滨河东里,大兴,枣园,滨河东里,60,南 北,2室1厅1卫,BJ1700452415393759232,3600
首开康乃馨城,大兴,枣园,首开康乃馨城,85,南 北,2室1厅1卫,BJ1700493961950396416,4000
巴克寓所,通州,果园,巴克寓所,65,北,1室0厅1卫,BJ1700534566755762176,4000
富丰园小区,丰台,科技园区,富丰园小区,62,东 西,2室1厅1卫,BJ1698264826721075200,4000
达富雅园,通州,万达,达富雅园,56,南,1室1厅1卫,BJ1698342012446572544,3600
模式口西里,石景山,苹果园,模式口西里,59,南 北,2室1厅1卫,BJ1698649592276451328,4000
苏荷时代,通州,果园,苏荷时代,78,西,1室1厅1卫,BJ1701163186482315264,4000
清秀园南区,昌平,东关,清秀园南区,80,南 北,2室1厅1卫,BJ1701174079379210240,3800
茶贸国际中心,西城,马连道,茶贸国际中心,34,北,1房间1卫,BJ1701186770567168000,3800
梨园小镇,通州,梨园,梨园小镇,72,西,2室1厅1卫,BJ1701197328410476544,4000
郁花园一里,大兴,高米店,郁花园一里,74,南 北,2室1厅1卫,BJ1700715808524599296,4000
松榆里,朝阳,潘家园,松榆里,44,南,1室1厅1卫,BJ1700717304079187968,4000
金隅滨和园6号院,石景山,石景山其它,金隅滨和园6号院,76,南 北,2室1厅1卫,BJ1711654184027160576,3700
长丰园一区,大兴,科技园区,长丰园一区,86,南,2室1厅1卫,BJ1705093402263027712,3900
长丰园一区,大兴,科技园区,长丰园一区,84,南 北,2室1厅1卫,BJ1703423274202955776,3600
中海御鑫阁,丰台,科技园区,中海御鑫阁,30,西,1室0厅1卫,BJ1677214389410725888,4000
丰台路口东里,丰台,七里庄,丰台路口东里,40,南,1室1厅1卫,BJ1705803847034732544,4000
首座御园一区二期,大兴,枣园,首座御园一区二期,94,东南,2室2厅1卫,BJ1706282741928034304,3900
泰和宜园,顺义,马坡,泰和宜园,95,南 北,3室1厅1卫,BJ1706530039786373120,3800
城子大街90号院,门头沟,城子,城子大街90号院,83,东 南 北,3室1厅1卫,BJ1708819122948669440,4000
倚山嘉园,门头沟,滨河西区,倚山嘉园,94,南,2室1厅1卫,BJ1709096614435487744,3700
富力丹麦小镇D区,大兴,大兴新机场,富力丹麦小镇D区,102,南,2室1厅1卫,BJ1709081271696621568,3800
康庄路50号院,大兴,枣园,康庄路50号院,66,南,1室1厅1卫,BJ1709171900338405376,3700
西上园四区,通州,武夷花园,西上园四区,60,南 北,1室1厅1卫,BJ1709152865433419776,3600
天翠阳光新城,石景山,城子,天翠阳光新城,75,南 北,2室1厅1卫,BJ1709160788989575168,3600
东平里,朝阳,首都机场,东平里,66,南,2室1厅1卫,BJ1691295325781753856,3700
望都家园,昌平,北七家,望都家园,84,北,2室1厅1卫,BJ1691322811873755136,3600
鹿海园三里,大兴,亦庄开发区其它,鹿海园三里,58,南,1室1厅1卫,BJ1691384552229961728,3700
茶贸国际中心,西城,马连道,茶贸国际中心,34,东,1房间1卫,BJ1707659061790507008,3800
城建上河湾北区,密云,密云镇,城建上河湾北区,118,南 北,3室1厅2卫,BJ1708028519348436992,4000
开阳里六区,丰台,北京南站,开阳里六区,27,北,1室0厅1卫,BJ1709797540154572800,3600
东亚三环,丰台,马家堡,东亚三环,34,北,1室0厅1卫,BJ1709807186617565184,4000
茶贸国际中心,西城,马连道,茶贸国际中心,34,北,1房间1卫,BJ1709887350357622784,3700
首邑溪谷,大兴,枣园,首邑溪谷,38,东,1室1厅1卫,BJ1709860810727096320,3700
红石座,昌平,东关,红石座,52,东南,3房间1卫,BJ1710150461278912512,3600
紫金新园三区,门头沟,石门营,紫金新园三区,65,南,2室1厅1卫,BJ1710167823038283776,3900
K2清水湾,通州,潞苑,K2清水湾,68,西南,2室1厅1卫,BJ1710167303343046656,4000
星瑞家园,大兴,黄村中,星瑞家园,62,南 北,1室1厅1卫,BJ1709813149605036032,3700
黄村东里,大兴,黄村中,黄村东里,86,东 西 北,3室1厅1卫,BJ1709804470587621376,3900
青塔南里,丰台,青塔,青塔南里,70,东 西,2室1厅1卫,BJ1709841107036143616,3900
长丰园一区,大兴,科技园区,长丰园一区,86,南,2室1厅1卫,BJ1705093402263027712,3900
长丰园一区,大兴,科技园区,长丰园一区,84,南 北,2室1厅1卫,BJ1703423274202955776,3600
中海御鑫阁,丰台,科技园区,中海御鑫阁,30,西,1室0厅1卫,BJ1677214389410725888,4000
大红门南里,丰台,赵公口,大红门南里,54,东 南,2室1厅1卫,BJ1682658445540458496,3700
红星北里,大兴,和义,红星北里,69,南 北,2室1厅1卫,BJ1705124394910613504,3700
DBC加州小镇C区,通州,临河里,DBC加州小镇C区,93,南,2室1厅1卫,BJ1717024788465057792,3800
辛寺胡同,东城,东四,辛寺胡同,15,北,1室0厅1卫,BJ1691429206879109120,3800
幸福艺居,通州,玉桥,幸福艺居,127,南 北,2室1厅1卫,BJ1718195532351930368,3700
玉桥东路19号院,通州,玉桥,玉桥东路19号院,88,南 北,3室1厅1卫,BJ1662323627862786048,3700
西辛南区,顺义,顺义城,西辛南区,63,南 北,1室1厅1卫,BJ1699624845110673408,3800
裕龙三区,顺义,顺义城,裕龙三区,124,南 北,3室2厅2卫,BJ1683363363066740736,3900
世界侨商中心,通州,北关,世界侨商中心,42,西,1室0厅1卫,BJ1697241560292261888,3800
麓景嘉园南里,海淀,海淀其它,麓景嘉园南里,65,南,1室1厅1卫,BJ1705483361344028672,3600
同泽园西里,海淀,海淀其它,同泽园西里,67,南 北,2室1厅1卫,BJ1684899168868368384,4000
玉桥南里,通州,玉桥,玉桥南里,92,南 北,2室1厅1卫,BJ1692482599068368896,3700
梨花苑,石景山,古城,梨花苑,45,南,1室0厅1卫,BJ1718953890952511488,4000
万科天地,大兴,义和庄,万科天地,42,北,3房间2卫,BJ1719197698004877312,4000
荣丰2008,西城,广安门,荣丰2008,30,北,1室0厅1卫,BJ1719307300402888704,4000
保利春天里,大兴,天宫院,保利春天里,58,南 西,1室1厅1卫,BJ1719346812512370688,4000
古城南路,石景山,古城,古城南路,44,东,2室1厅1卫,BJ1690589343883722752,4000
西营前街,通州,万达,西营前街,68,南 北,2室1厅1卫,BJ1690660748574851072,3700
巴克摩界,通州,果园,巴克摩界,43,北,1室1厅1卫,BJ1693110225369825280,4000
荔景园新区,通州,武夷花园,荔景园新区,80,南 北,2室1厅1卫,BJ1693091915060215808,3900
首邑上城,大兴,枣园,首邑上城,66,东,1室1厅1卫,BJ1693462826162585600,4000
清乐园,大兴,旧宫,清乐园,64,南 北,2室1厅1卫,BJ1693501903419211776,4000
DBC加州小镇,通州,临河里,DBC加州小镇,50,南 北,2室1厅1卫,BJ1691268681553674240,3800
金隅糖,房山,长阳,金隅糖,80,东 西,3室0厅1卫,BJ1700819394898165760,3700
水关新村,昌平,东关,水关新村,77,南 北,2室1厅1卫,BJ1700807665921294336,3700
永安里小区,昌平,鼓楼大街,永安里小区,72,南 北,2室1厅1卫,BJ1700867407578398720,4000
绿岛苑西区,朝阳,定福庄,绿岛苑西区,50,西南,1室1厅1卫,BJ1701098433525317632,3800
兴华园,大兴,枣园,兴华园,74,南 北,2室1厅1卫,BJ1698915842185494528,3800
五爱屯西街,丰台,新宫,五爱屯西街,50,南 北,2室1厅1卫,BJ1698890765133938688,3700
霍营小区,昌平,霍营,霍营小区,60,南 北,2室1厅1卫,BJ1698980361419096064,3800
首邑溪谷,大兴,枣园,首邑溪谷,60,东南 北,2室2厅2卫,BJ1699000720503603200,4000
大红门南里,丰台,赵公口,大红门南里,54,东 南,2室1厅1卫,BJ1682658445540458496,3700
红星北里,大兴,和义,红星北里,69,南 北,2室1厅1卫,BJ1705124394910613504,3700
DBC加州小镇C区,通州,临河里,DBC加州小镇C区,93,南,2室1厅1卫,BJ1717024788465057792,3800
辛寺胡同,东城,东四,辛寺胡同,15,北,1室0厅1卫,BJ1691429206879109120,3800
馨港庄园三区,顺义,李桥,馨港庄园三区,127,南 北,3室1厅1卫,BJ1689946310829932544,3900
石园北区,顺义,顺义城,石园北区,135,南 北,4室1厅2卫,BJ1703979084045877248,4000
鲁能7号院颐景溪园,顺义,马坡,鲁能7号院颐景溪园,134,南 北,3室2厅2卫,BJ1701519848237957120,4000
世界侨商中心,通州,北关,世界侨商中心,42,北,1室0厅1卫,BJ1690924373831057408,3700
西潞苑小区,通州,北关,西潞苑小区,92,东 南 北,3室1厅1卫,BJ1665564069412732928,4000
沙河地质研究院家属楼,昌平,昌平其它,沙河地质研究院家属楼,82,南 北,3室1厅1卫,BJ1689993204675379200,3600
绿海家园,昌平,昌平其它,绿海家园,80,南,2室1厅1卫,BJ1693449516604194816,3600
旭辉26街区,顺义,顺义其它,旭辉26街区,39,东 西,2室1厅2卫,BJ1686325520930701312,4000
板桥南街8号院,顺义,顺义其它,板桥南街8号院,109,南 北,3室2厅1卫,BJ1704712466539216896,3900
旭辉26街区,顺义,顺义其它,旭辉26街区,38,东 西,2室1厅2卫,BJ1704770848356827136,3800
旭辉26街区,顺义,顺义其它,旭辉26街区,38,东 西,2室1厅2卫,BJ1680491693255688192,3900
南海家园二里,大兴,亦庄开发区其它,南海家园二里,90,南 北,2室1厅1卫,BJ1717787927754309632,4000
庄维多摩市二期,丰台,七里庄,庄维多摩市二期,73,东,1室1厅1卫,BJ1701094276856807424,4000
西悦雅居,房山,长阳,西悦雅居,88,南,2室1厅1卫,BJ1691347852254511104,4000
新华联家园北区,通州,果园,新华联家园北区,42,南,1室0厅1卫,BJ1691777511500808192,3600
首开熙悦广场,房山,长阳,首开熙悦广场,49,东 北,3房间1卫,BJ1693847688488943616,3800
水关新村,昌平,东关,水关新村,88,东南,2室1厅1卫,BJ1693870560074792960,3700
旭辉26街区,顺义,顺义其它,旭辉26街区,40,东,2室1厅2卫,BJ1693851595848024064,3900
新华小区,通州,万达,新华小区,70,南 北,2室1厅1卫,BJ1693849491368574976,3800
茶贸国际中心,西城,马连道,茶贸国际中心,34,南,1房间1卫,BJ1693986678105964544,3700
河畔丽景,通州,武夷花园,河畔丽景,63,西北,1室1厅1卫,BJ1694613100273074176,3600
黄村中里,大兴,黄村中,黄村中里,68,南,1室1厅1卫,BJ1693496583573733376,3700
三合南里,大兴,黄村中,三合南里,82,南 北,2室1厅1卫,BJ1693943821743685632,3700
模式口西里,石景山,苹果园,模式口西里,60,南 北,2室1厅1卫,BJ1694200879374139392,4000
中海云筑,大兴,大兴新机场,中海云筑,89,南 北,3室1厅1卫,BJ1694256928923844608,4000
管庄东里,朝阳,管庄,管庄东里,57,南,2室1厅1卫,BJ1692011349288157184,4000
燕翔东里,朝阳,首都机场,燕翔东里,58,东 西,2室1厅1卫,BJ1692061572937023488,3800
建国街一里,丰台,看丹桥,建国街一里,41,南,1室1厅1卫,BJ1692059353596559360,3800
杨庄小区,石景山,杨庄,杨庄小区,52,南,1室1厅1卫,BJ1692389014671196160,3800
绿城百合公寓南区,房山,阎村,绿城百合公寓南区,119,南 北,3室2厅2卫,BJ1692501325847199744,4000
长阳国际城三区,房山,长阳,长阳国际城三区,89,南 北,3室1厅1卫,BJ1709875634844467200,4000
西长安壹号,门头沟,上岸地铁,西长安壹号,56,东,3房间1卫,BJ1699725752963956736,4000
波普公社,大兴,枣园,波普公社,63,东,2房间1卫,BJ1699986494665523200,3700
K2清水湾,通州,潞苑,K2清水湾,81,南 北,2室1厅1卫,BJ1699809257530064896,4000
运乔嘉园,通州,乔庄,运乔嘉园,84,东 南,2室1厅1卫,BJ1700114970059997184,3750
智汇雅苑,房山,良乡,智汇雅苑,89,南 北,2室1厅1卫,BJ1700129185080541184,4000
站前巴黎,通州,梨园,站前巴黎,67,南,1室1厅1卫,BJ1700142631352270848,3900
青年公寓,石景山,苹果园,青年公寓,47,南,1室1厅1卫,BJ1700360035797827584,3600
西辛南区,顺义,顺义城,西辛南区,79,南 北,2室1厅1卫,BJ1700387357888348160,3900
八角中里,石景山,八角,八角中里,50,南,1室1厅1卫,BJ1700435962888192000,3700
设计师广场,丰台,科技园区,设计师广场,48,西南,1室1厅1卫,BJ1700401701489475584,4000
荣丰2008,西城,广安门,荣丰2008,26,西,1室0厅1卫,BJ1700445976256315392,3800
荣丰2008,西城,广安门,荣丰2008,24,南 北,1室0厅1卫,BJ1700464099789373440,3800
工业经委宿舍楼,昌平,西关环岛,工业经委宿舍楼,89,南 北,3室1厅1卫,BJ1700506621207117824,3900
建安里小区,昌平,东关,建安里小区,60,东北,2室1厅1卫,BJ1701811019317248000,4000
新源南路,朝阳,亮马桥,新源南路,56,南 北,2室1厅1卫,BJ1684921170517819392,4000
德茂佳苑,大兴,瀛海,德茂佳苑,86,南 北,2室1厅1卫,BJ1707747639480549376,3800
新居里,大兴,枣园,新居里,110,南 北,2室2厅1卫,BJ1687702809341853696,3700
首座御园一区二期,大兴,枣园,首座御园一区二期,89,南,2室1厅1卫,BJ1718940916221214720,3900
中经公司宿舍楼,昌平,沙河,中经公司宿舍楼,115,南 北,2室2厅1卫,BJ1694919547280162816,3600
旺龙花园,昌平,霍营,旺龙花园,41,北,1室1厅1卫,BJ1718471346427527168,4000
长丰园一区,大兴,科技园区,长丰园一区,84,南 北,2室1厅1卫,BJ1714943238919421952,3600
松林庄,丰台,和义,松林庄,62,南,2室1厅1卫,BJ1718227359259164672,4000
新城乐居,通州,临河里,新城乐居,78,南 北,2室1厅1卫,BJ1706977939289014272,3800
迎喜家园,通州,临河里,迎喜家园,88,南 北,2室1厅1卫,BJ1688751235835887616,3800
新安里,大兴,枣园,新安里,116,东 西,2室1厅1卫,BJ1671837897432498176,3800
枣园小区,大兴,枣园,枣园小区,46,南,1室1厅1卫,BJ1718183201102364672,3600
首座御园二期北区三期,大兴,枣园,首座御园二期北区三期,94,南 北,2室1厅1卫,BJ1710985222893338624,3600
明发雅苑,大兴,天宫院,明发雅苑,85,东南,2室1厅1卫,BJ1717889282909143040,3900
裕龙三区,顺义,顺义城,裕龙三区,124,南 北,3室2厅2卫,BJ1683363363066740736,3900
运乔嘉园,通州,乔庄,运乔嘉园,123,南 北,2室1厅2卫,BJ1717849035366203392,4000
玉桥东路34号院,通州,乔庄,玉桥东路34号院,100,东 西,2室2厅2卫,BJ1682273938232573952,3800
玉桥南里,通州,玉桥,玉桥南里,92,南 北,2室1厅1卫,BJ1692482599068368896,3700
张郭庄小区,丰台,丰台其它,张郭庄小区,91,南 北,2室1厅1卫,BJ1710498297770147840,4000
华远西红世商业,大兴,高米店,华远西红世商业,48,西,2房间0卫,BJ1695040380040380416,3600
长阳国际城三区,房山,长阳,长阳国际城三区,89,南 北,3室1厅1卫,BJ1694608273883267072,3900
涧桥山,密云,果园街道,涧桥山,129,南 北,3室2厅2卫,BJ1694702314587160576,3900
玉泉路11号院,石景山,玉泉路,玉泉路11号院,41,北,1室1厅1卫,BJ1695003141918949376,3800
新安里,大兴,枣园,新安里,89,南 北,2室1厅1卫,BJ1695281477446533120,3700
富强西里,大兴,黄村中,富强西里,58,东 西,2室1厅1卫,BJ1695715710489067520,3750
城建宿舍,丰台,青塔,城建宿舍,44,南,1室1厅1卫,BJ1695109813110833152,3700
和义东里四区,丰台,和义,和义东里四区,56,南 北,2室1厅1卫,BJ1695352298747723776,4000
葛村西里,丰台,玉泉营,葛村西里,47,南,2室1厅1卫,BJ1692809298448482304,4000
地震局宿舍,石景山,玉泉路,地震局宿舍,42,南,1室1厅1卫,BJ1692742862233403392,3900
西辛南区,顺义,顺义城,西辛南区,86,南 北,2室1厅1卫,BJ1656230820089692160,3900
北京像素南区,朝阳,常营,北京像素南区,51,南,1房间1卫,BJ1658390981994610688,4000
上奥世纪中心,昌平,西三旗,上奥世纪中心,46,东,1房间0卫,BJ1648638792598290432,3800
绿地诺亚方舟,房山,良乡,绿地诺亚方舟,62,南,4房间1卫,BJ1660192876379766784,3600
