title,location,building_location1,building_location2,area,direction,type,description,price
翠庭,长宁,虹桥,翠庭,165,南,3室2厅2卫,SH1670350572936495104,22000
徐汇苑,徐汇,龙华,徐汇苑,192,南,3室2厅2卫,SH1670661483140218880,30000
中凯城市之光(徐汇),徐汇,徐家汇,中凯城市之光(徐汇),263,南 北,2室2厅2卫,SH1671024168189034496,50000
融创外滩188,虹口,北外滩,融创外滩188,173,南,3室2厅2卫,SH1671114901415788544,30000
翡翠名都,闵行,金虹桥,翡翠名都,296,南 西南,4室2厅3卫,SH1671098785746386944,52000
上河湾,普陀,长征,上河湾,497,南 北,6室2厅4卫,SH1676920985170739200,28000
中海建国里,黄浦,老西门,中海建国里,152,南 北,3室2厅2卫,SH1682400038967312384,41000
中泰公寓,黄浦,人民广场,中泰公寓,218,南,4室2厅2卫,SH1648321622567813120,23000
露香园,黄浦,豫园,露香园,318,南,5室2厅5卫,SH1717227718560448512,59000
融创滨江壹号院,黄浦,世博滨江,融创滨江壹号院,189,西南,3室2厅2卫,SH1692848977893916672,35000
融创外滩壹号院,黄浦,黄浦滨江,融创外滩壹号院,289,南,4室2厅3卫,SH1718595546391773184,110000
绿城黄浦湾,黄浦,黄浦滨江,绿城黄浦湾,635,南,4室2厅3卫,SH1596779065199558656,160000
碧云花园,浦东,碧云,碧云花园,269,南 北,4室2厅3卫,SH1675025592610717696,42000
维诗凯亚,浦东,碧云,维诗凯亚,450,南,5室2厅4卫,SH1672568323335782400,60000
河畔明珠,黄浦,南京东路,河畔明珠,150,南,4室2厅2卫,SH1684858681566429184,25000
仁恒公园世纪,浦东,杨东,仁恒公园世纪,156,南,3室2厅2卫,SH1678040545991065600,31000
宝华城市之星,普陀,光新,宝华城市之星,146,南,3室2厅2卫,SH1678275485357834240,30000
远雄徐汇园,徐汇,斜土路,远雄徐汇园,126,南,2室2厅2卫,SH1686357492059078656,32000
绿城上海御园,浦东,高行,绿城上海御园,181,南,4室2厅2卫,SH1678982159206973440,21000
静安天御,静安,不夜城,静安天御,145,南 北,3室2厅2卫,SH1675833717173518336,43000
中粮前滩海景壹号,浦东,杨思前滩,中粮前滩海景壹号,118,南,3室2厅2卫,SH1676189857782693888,21000
云间绿大地,浦东,碧云,云间绿大地,170,南,3室2厅3卫,SH1676094989819445248,30000
新外滩花苑,虹口,北外滩,新外滩花苑,180,南,3室2厅2卫,SH1676120295187939328,25800
大宁金茂府,静安,大宁,大宁金茂府,158,南,3室2厅2卫,SH1676233931214553088,28000
中建大公馆,杨浦,新江湾城,中建大公馆,901,南,7室3厅6卫,SH1676526622041178112,55000
前滩东方逸品,浦东,杨思前滩,前滩东方逸品,133,南 北,3室2厅2卫,SH1676848788209139712,27000
泰府名邸,静安,南京西路,泰府名邸,157,南,3室2厅2卫,SH1676850471475609600,26000
汇贤居,徐汇,衡山路,汇贤居,147,南,3室2厅2卫,SH1677207517504995328,28000
尚泰里,长宁,镇宁路,尚泰里,92,南 西南,2室1厅1卫,SH1677157225698689024,20500
新上海花园洋房,松江,九亭,新上海花园洋房,302,南 北,5室3厅4卫,SH1678236089472516096,42000
鸿发苑,长宁,新华路,鸿发苑,104,南 西,2室2厅2卫,SH1678624846986084352,21000
浦发壹滨江,浦东,洋泾,浦发壹滨江,110,南,2室1厅1卫,SH1687019964155822080,25000
仁恒河滨城(二期),浦东,联洋,仁恒河滨城(二期),223,南 北,4室2厅2卫,SH1679354899332071424,35000
虹桥华庭,长宁,仙霞,虹桥华庭,198,南,4室2厅2卫,SH1711307146991239168,30000
九庐,浦东,梅园,九庐,151,南,2室2厅2卫,SH1712462201861701632,43000
世茂滨江花园,浦东,陆家嘴,世茂滨江花园,157,西,2室2厅2卫,SH1709945542500417536,22000
中海建国里,黄浦,老西门,中海建国里,151,南 北,3室2厅2卫,SH1712753508110827520,43000
泰府名邸,静安,南京西路,泰府名邸,118,南,2室2厅2卫,SH1711307620842733568,20600
九庐,浦东,梅园,九庐,152,北,2室2厅2卫,SH1712796934189613056,46000
翡翠名都,闵行,金虹桥,翡翠名都,152,南,3室2厅2卫,SH1711969847866294272,27000
尚海湾豪庭(二期）,徐汇,徐汇滨江,尚海湾豪庭(二期）,119,南,2室2厅2卫,SH1712018606558019584,31000
金融街融府,静安,不夜城,金融街融府,129,南,3室2厅2卫,SH1712033203692240896,26000
葛洲坝虹桥紫郡公馆,青浦,徐泾,葛洲坝虹桥紫郡公馆,131,南,3室2厅2卫,SH1712070696722497536,23000
瑞虹新城悦庭,虹口,临平路,瑞虹新城悦庭,97,南,2室2厅1卫,SH1712064685982875648,22000
罗山绿洲,浦东,御桥,罗山绿洲,221,南 北,5室2厅3卫,SH1713409145207521280,22000
强生古北花园,长宁,古北,强生古北花园,150,南 北,2室2厅2卫,SH1713416803620749312,22000
虹桥融景,青浦,徐泾,虹桥融景,494,南,5室3厅5卫,SH1712455529709699072,45000
虹桥城市花园(公寓),长宁,古北,虹桥城市花园(公寓),199,南,4室2厅3卫,SH1713924041233924096,53800
绿宝园,浦东,康桥,绿宝园,295,南,3室3厅3卫,SH1715270609983766528,37000
古北嘉年华庭,长宁,古北,古北嘉年华庭,143,南 北,3室2厅2卫,SH1661037663433523200,22000
万科蓝山,浦东,曹路,万科蓝山,462,西南 北,5室2厅3卫,SH1661746839809949696,35000
品尊国际,普陀,真如,品尊国际,164,南,3室2厅2卫,SH1673258057716465664,28000
尚峰名邸,浦东,杨思前滩,尚峰名邸,147,南 北,3室2厅2卫,SH1662459577242746880,24000
世茂滨江花园,浦东,陆家嘴,世茂滨江花园,135,西南,2室2厅1卫,SH1663412286401806336,23000
太阳都市花园一期,黄浦,豫园,太阳都市花园一期,149,南,3室2厅2卫,SH1663122795921408000,25000
居礼苑(公寓),青浦,徐泾,居礼苑(公寓),232,南,5室2厅3卫,SH1673544456285978624,25000
新天地河滨花园,长宁,天山,新天地河滨花园,160,南 北,4室2厅2卫,SH1673609589716680704,28000
思南新苑,黄浦,打浦桥,思南新苑,104,南,2室2厅2卫,SH1663868495038775296,25000
菊园,浦东,陆家嘴,菊园,156,南 西南,4室2厅2卫,SH1664181390507245568,26000
中海建国里,黄浦,老西门,中海建国里,137,南,3室2厅2卫,SH1664216447338938368,41500
虹庐湾,闵行,华漕,虹庐湾,180,南,3室2厅2卫,SH1664520674909093888,23600
融创滨江壹号院,黄浦,世博滨江,融创滨江壹号院,293,南,3室2厅3卫,SH1657244154117226496,90000
通汇公寓,徐汇,徐家汇,通汇公寓,148,南,4室2厅2卫,SH1674327432833794048,22000
黄浦滩名苑,黄浦,世博滨江,黄浦滩名苑,325,南 西 北,5室2厅4卫,SH1658753048912068608,85000
上海滩花园,黄浦,黄浦滨江,上海滩花园,123,南,2室2厅2卫,SH1674641222548848640,21000
百汇园,徐汇,徐汇滨江,百汇园,178,东南,3室2厅2卫,SH1659470369888665600,28800
宝华城市之星,普陀,光新,宝华城市之星,147,南,3室2厅2卫,SH1675073867602722816,30000
嘉御庭,徐汇,建国西路,嘉御庭,196,南,3室2厅3卫,SH1656265475169976320,61000
梧桐花园,徐汇,建国西路,梧桐花园,126,东南,3室2厅2卫,SH1649013128341487616,23000
中兴路一号,静安,西藏北路,中兴路一号,104,南,2室1厅1卫,SH1711772363059625984,33000
中兴路一号,静安,西藏北路,中兴路一号,244,南 西 北,4室2厅3卫,SH1694243147980210176,72000
福新里,静安,西藏北路,福新里,257,南 北,4室2厅3卫,SH1708403301092950016,65000
翠湖天地雅苑,黄浦,新天地,翠湖天地雅苑,108,南,2室2厅2卫,SH1708364923400093696,23000
翠湖天地御苑,黄浦,新天地,翠湖天地御苑,140,南 北,3室2厅2卫,SH1714572016780050432,33000
八埭头滨江园,杨浦,东外滩,八埭头滨江园,145,南 北,3室2厅2卫,SH1703240171681480704,25000
信达泰禾上海院子,杨浦,新江湾城,信达泰禾上海院子,345,南,4室2厅3卫,SH1590305546202775552,25000
凯德星贸邸,静安,不夜城,凯德星贸邸,148,南,3室2厅2卫,SH1661219645048225792,46000
苏河湾中心润府,静安,西藏北路,苏河湾中心润府,89,南,2室2厅2卫,SH1701811303875608576,23000
世茂滨江花园,浦东,陆家嘴,世茂滨江花园,314,南,4室2厅3卫,SH1719232683571150848,70000
碧云花园,浦东,碧云,碧云花园,270,南,3室2厅2卫,SH1674780749561069568,45000
森兰星河湾,浦东,高行,森兰星河湾,177,南,3室2厅3卫,SH1702543595413700608,22000
绿宝锦庭,浦东,康桥,绿宝锦庭,166,南 北,4室2厅3卫,SH1704009607879327744,26800
绿城黄浦湾,黄浦,黄浦滨江,绿城黄浦湾,191,南,3室2厅2卫,SH1695348589187825664,63000
陆家嘴花园(二期),浦东,源深,陆家嘴花园(二期),211,南,4室2厅2卫,SH1705828546158526464,22000
华侨城苏河湾行政公馆,静安,西藏北路,华侨城苏河湾行政公馆,162,南 北,2室2厅2卫,SH1650517372626272256,30000
万科翡翠别墅,闵行,浦江,万科翡翠别墅,802,南,5室2厅5卫,SH1651143732424081408,65000
静安豪景苑,静安,江宁路,静安豪景苑,112,南,2室2厅2卫,SH1651594741688565760,21800
前滩东方逸品,浦东,杨思前滩,前滩东方逸品,132,南 北,3室2厅2卫,SH1652192045156007936,24500
中粮天悦壹号,静安,西藏北路,中粮天悦壹号,285,南 北,4室2厅4卫,SH1658389709660880896,90000
御翠豪庭,长宁,古北,御翠豪庭,154,南,3室2厅2卫,SH1669972939677630464,25000
青之杰花园,徐汇,徐家汇,青之杰花园,168,南,3室2厅2卫,SH1669671768232558592,22000
名都古北,闵行,金虹桥,名都古北,227,南,4室2厅3卫,SH1658831686839828480,37500
长堤别墅,青浦,徐泾,长堤别墅,240,南,4室2厅3卫,SH1658861159077380096,24000
九庐,浦东,梅园,九庐,172,南 北,3室2厅2卫,SH1670354099880591360,41500
万科翡翠雅宾利,静安,西藏北路,万科翡翠雅宾利,184,南,3室2厅3卫,SH1670668574336745472,28000
东方豪园(别墅),嘉定,嘉定新城,东方豪园(别墅),300,南,3室2厅3卫,SH1670685132559745024,24900
东方曼哈顿(尚东区),徐汇,徐家汇,东方曼哈顿(尚东区),209,南,3室2厅2卫,SH1659850132352401408,60000
百汇园,徐汇,徐汇滨江,百汇园,110,南,2室2厅1卫,SH1671074214624362496,22000
仁恒河滨花园,长宁,天山,仁恒河滨花园,154,南 北,4室2厅2卫,SH1659971013317754880,26000
翠湖天地隽荟,黄浦,新天地,翠湖天地隽荟,277,南,4室2厅3卫,SH1671394401491877888,150000
上海滩花园,黄浦,黄浦滨江,上海滩花园,131,南 北,3室2厅2卫,SH1671383788384419840,23000
路易凯旋宫,长宁,中山公园,路易凯旋宫,177,南 北,3室2厅2卫,SH1671460901565235200,21800
财富海景花园,浦东,陆家嘴,财富海景花园,200,西北,3室2厅2卫,SH1671493186486272000,33000
世茂滨江花园,浦东,陆家嘴,世茂滨江花园,276,南 北,4室2厅3卫,SH1671878606395015168,39500
外滩99,虹口,四川北路,外滩99,171,南,3室2厅2卫,SH1672166792337817600,29000
仁恒滨江园,浦东,陆家嘴,仁恒滨江园,217,南,3室2厅3卫,SH1672196979876167680,38000
嘉天汇,静安,静安寺,嘉天汇,204,南,3室2厅3卫,SH1673640721397055488,56000
碧云东方公寓,浦东,碧云,碧云东方公寓,145,南,3室2厅2卫,SH1681143320186716160,22000
新家坡美树馆,徐汇,建国西路,新家坡美树馆,204,西南,4室2厅2卫,SH1674635752601812992,39800
兆丰嘉园,长宁,中山公园,兆丰嘉园,163,南,3室2厅2卫,SH1681879349000667136,25000
海富花园,浦东,塘桥,海富花园,255,南,3室2厅2卫,SH1675056415858753536,38000
龙湖天钜,闵行,颛桥,龙湖天钜,268,南 北,4室2厅2卫,SH1672857841389535232,35000
仁恒河滨城(二期),浦东,联洋,仁恒河滨城(二期),161,南,3室2厅2卫,SH1673216464137486336,23000
尚东国际名园（二期）,浦东,杨思前滩,尚东国际名园（二期）,145,南,4室2厅2卫,SH1673204864169017344,22000
嘉宝前滩后院,浦东,杨思前滩,嘉宝前滩后院,200,南,3室2厅3卫,SH1673591687814840320,45000
古北壹号,闵行,金虹桥,古北壹号,259,南,3室3厅3卫,SH1673617919327600640,138000
上河湾,普陀,长征,上河湾,147,南 北,3室2厅2卫,SH1675163218865029120,24000
金色家园,黄浦,人民广场,金色家园,163,南,3室2厅2卫,SH1673931350781984768,23000
世茂滨江花园,浦东,陆家嘴,世茂滨江花园,370,西南,3室2厅3卫,SH1675900289409875968,40000
欣安大厦,静安,静安寺,欣安大厦,260,南,4室2厅4卫,SH1703362561992294400,23000
达安广场,静安,静安寺,达安广场,223,南 西南 西 北,3室2厅2卫,SH1701490261550432256,25000
联洋年华,浦东,联洋,联洋年华,321,南,5室3厅4卫,SH1711989621170110464,32000
嘉御庭,徐汇,建国西路,嘉御庭,143,南,2室2厅2卫,SH1693467637327069184,32000
金外滩花园,黄浦,黄浦滨江,金外滩花园,154,南 北,3室2厅2卫,SH1715574550130851840,25000
浦东世纪花园(别墅),浦东,花木,浦东世纪花园(别墅),705,南 北,5室2厅3卫,SH1591653797904515072,150000
中粮海景壹号,浦东,陆家嘴,中粮海景壹号,321,西南,4室2厅4卫,SH1674852278600728576,80000
和平花苑一期,杨浦,鞍山,和平花苑一期,170,西北,4室2厅2卫,SH1670441131302715392,23000
翠湖天地雅苑,黄浦,新天地,翠湖天地雅苑,132,南 北,3室2厅2卫,SH1706551017333587968,29000
中海建国里,黄浦,老西门,中海建国里,163,南 西 北,4室2厅2卫,SH1710206050541502464,48000
瑞虹新城怡庭,虹口,临平路,瑞虹新城怡庭,108,南,2室2厅1卫,SH1710243957046247424,21000
乾景雅园,浦东,北蔡,乾景雅园,135,南,3室2厅2卫,SH1710241429336358912,22000
中海建国里,黄浦,老西门,中海建国里,151,南 北,3室2厅2卫,SH1712753508110827520,43000
棕榈泉花园,浦东,唐镇,棕榈泉花园,292,南,4室3厅4卫,SH1712767491639345152,45000
新外滩花苑,虹口,北外滩,新外滩花苑,165,南,3室2厅2卫,SH1713103616643956736,23000
绿地海珀风华(别墅),青浦,赵巷,绿地海珀风华(别墅),228,南,5室2厅3卫,SH1711294295333404672,22000
古北大成公馆,闵行,金虹桥,古北大成公馆,125,南 北,2室2厅2卫,SH1712333773904805888,22000
南郊别墅(别墅),闵行,颛桥,南郊别墅(别墅),456,南,4室3厅3卫,SH1713467135105171456,37000
静安四季苑,静安,南京西路,静安四季苑,147,南,3室2厅2卫,SH1713514820499668992,23500
华光花园,闵行,金虹桥,华光花园,236,南 北,5室2厅2卫,SH1687411110510067712,26000
龙湖天钜,闵行,颛桥,龙湖天钜,268,南 北,4室2厅2卫,SH1687743216264151040,26000
万科翡翠雅宾利,静安,西藏北路,万科翡翠雅宾利,186,南,3室2厅3卫,SH1687756073873702912,34000
古北国际花园,长宁,古北,古北国际花园,185,南,3室2厅2卫,SH1712825041160241152,30000
淮海世纪花苑,长宁,新华路,淮海世纪花苑,147,南,3室2厅2卫,SH1716034450535481344,25000
凯欣豪园,长宁,中山公园,凯欣豪园,156,南,3室2厅1卫,SH1713123173202919424,23000
静安豪景苑,静安,江宁路,静安豪景苑,139,南,3室2厅2卫,SH1713522576665346048,25000
四季晶园,长宁,古北,四季晶园,139,南,3室2厅2卫,SH1714642917903040512,25000
名都城(公寓),闵行,金虹桥,名都城(公寓),154,南,4室2厅2卫,SH1714639899988066304,25000
联兴大厦,黄浦,打浦桥,联兴大厦,161,南 北,4室2厅2卫,SH1713795760111222784,23800
九庐,浦东,梅园,九庐,157,北,2室2厅2卫,SH1675450290939101184,37000
南草坪花园(公寓),静安,江宁路,南草坪花园(公寓),172,南,4室2厅2卫,SH1676112659537199104,28000
古北瑞仕花园,长宁,古北,古北瑞仕花园,149,东南,3室2厅2卫,SH1665968436515176448,28000
绿地海珀风华(别墅),青浦,赵巷,绿地海珀风华(别墅),183,南,5室2厅3卫,SH1668889257239904256,22000
企业公馆,静安,不夜城,企业公馆,207,南,3室2厅3卫,SH1697144020829995008,29000
大宁金茂府,静安,大宁,大宁金茂府,158,南,3室2厅2卫,SH1701449738416553984,30000
仁恒滨江园,浦东,陆家嘴,仁恒滨江园,182,西,3室2厅2卫,SH1698326640930586624,39800
恒联名人世家,青浦,赵巷,恒联名人世家,454,南,4室2厅4卫,SH1702175524102602752,48000
保利西岸,徐汇,徐汇滨江,保利西岸,198,南,3室2厅2卫,SH1699301780778647552,49000
公馆77,黄浦,老西门,公馆77,170,南,4室2厅2卫,SH1698249124144480256,33000
兴国大厦,长宁,镇宁路,兴国大厦,149,南,3室2厅2卫,SH1702210773649981440,22000
静安四季苑,静安,南京西路,静安四季苑,154,南 北,3室2厅2卫,SH1702231706473332736,30000
雅戈尔长风8号,普陀,长风,雅戈尔长风8号,400,南,4室2厅2卫,SH1610185821384605696,50000
长风瑞仕璟庭,普陀,长风,长风瑞仕璟庭,159,南 北,4室2厅2卫,SH1680135927382409216,25000
锦绣里,普陀,长寿路,锦绣里,295,南 北,4室2厅3卫,SH1703286502420643840,69000
古北香堤艺墅,青浦,朱家角,古北香堤艺墅,400,南,6室2厅6卫,SH1697557067428003840,38000
绿地海珀外滩,黄浦,黄浦滨江,绿地海珀外滩,290,东 南,5室2厅4卫,SH1696041327155740672,140000
古北御庭,浦东,北蔡,古北御庭,146,南,3室2厅2卫,SH1671423165609279488,20050
仁恒西郊花园,青浦,徐泾,仁恒西郊花园,257,南,4室2厅3卫,SH1671456763083227136,25000
大都会高尔夫和风(公寓),闵行,七宝,大都会高尔夫和风(公寓),279,南,4室2厅3卫,SH1671821023990775808,42888
世茂滨江花园,浦东,陆家嘴,世茂滨江花园,373,西,4室1厅4卫,SH1671830766314586112,40000
西郊宝成花苑,长宁,西郊,西郊宝成花苑,224,南,4室2厅2卫,SH1671798298534477824,24000
国际丽都城,静安,南京西路,国际丽都城,174,南 北,3室2厅3卫,SH1652306057273278464,30000
丽都大厦,黄浦,世博滨江,丽都大厦,105,西,3室2厅2卫,SH1652271195321532416,22000
静安均泰丽轩,静安,曹家渡,静安均泰丽轩,116,南 北,2室2厅2卫,SH1652972420585226240,21000
绿地崴廉公寓,浦东,高行,绿地崴廉公寓,238,南,4室2厅3卫,SH1683413856342245376,28000
华侨城,普陀,长寿路,华侨城,200,南,4室2厅3卫,SH1676434400474038272,42000
新虹桥亚洲花园,青浦,徐泾,新虹桥亚洲花园,178,南,4室2厅3卫,SH1676219372621791232,25000
静安豪景苑,静安,江宁路,静安豪景苑,115,南,2室2厅2卫,SH1711386730889740288,21000
大宁金茂府,静安,大宁,大宁金茂府,179,南,4室2厅2卫,SH1711603082908925952,38000
虹桥府邸,长宁,新华路,虹桥府邸,158,南,3室2厅2卫,SH1699645380167204864,28000
绿地海珀黄浦,黄浦,蓬莱公园,绿地海珀黄浦,104,南,3室2厅1卫,SH1699684687393325056,31000
东方曼哈顿(尚东区),徐汇,徐家汇,东方曼哈顿(尚东区),136,东 东南 南,3室2厅1卫,SH1702560148817444864,30000
古北ONE,长宁,古北,古北ONE,122,南,3室2厅2卫,SH1700131425434468352,33000
凯欣豪园,长宁,中山公园,凯欣豪园,130,南,3室2厅2卫,SH1700360559263744000,21000
翠湖天地隽荟,黄浦,新天地,翠湖天地隽荟,172,南,3室1厅2卫,SH1700358730354262016,85000
上海壹街区,静安,南京西路,上海壹街区,161,南,3室2厅2卫,SH1698548701464625152,22000
香榭丽花园,浦东,源深,香榭丽花园,161,南,3室2厅2卫,SH1698555091771981824,20500
浦江海德,浦东,杨思前滩,浦江海德,143,南,3室2厅2卫,SH1702707762418417664,35000
天山河畔花园,长宁,天山,天山河畔花园,141,南 北,3室2厅2卫,SH1698982289389649920,21000
虹桥融景,青浦,徐泾,虹桥融景,134,南,3室2厅2卫,SH1700140374678306816,22000
嘉里华庭,长宁,镇宁路,嘉里华庭,146,东南 南,3室2厅2卫,SH1704356010094755840,30000
保利叶语(别墅),宝山,顾村,保利叶语(别墅),248,南,4室2厅3卫,SH1700875381843689472,34000
鸿申大厦,长宁,新华路,鸿申大厦,139,西南,3室2厅2卫,SH1700884196735582208,22000
罗马花园,长宁,古北,罗马花园,143,南,2室2厅2卫,SH1701549796235411456,25000
花木绿城锦绣兰庭,浦东,花木,花木绿城锦绣兰庭,147,南,3室2厅2卫,SH1705139083375804416,28000
凯旋汇,浦东,陆家嘴,凯旋汇,123,西南,2室2厅2卫,SH1703307120952213504,29500
三和花园,静安,曹家渡,三和花园,123,南,3室2厅2卫,SH1705180107250860032,23000
皇家花园,长宁,虹桥,皇家花园,165,南,3室2厅2卫,SH1703743843280617472,21000
凯旋汇,浦东,陆家嘴,凯旋汇,115,东,2室1厅2卫,SH1705563117527760896,32000
佘山银湖别墅,松江,泗泾,佘山银湖别墅,366,南,4室2厅4卫,SH1705579055820046336,33000
绿梅别墅(别墅),闵行,梅陇,绿梅别墅(别墅),190,南,5室2厅2卫,SH1704060319946506240,23000
东方曼哈顿,徐汇,徐家汇,东方曼哈顿,168,南,3室2厅2卫,SH1686326261611233280,22000
大豪山林别墅,青浦,徐泾,大豪山林别墅,376,南 北,5室2厅5卫,SH1686590257350311936,35000
山水国际,浦东,源深,山水国际,140,南 北,3室2厅2卫,SH1686352510140284928,20500
世茂滨江花园,浦东,陆家嘴,世茂滨江花园,137,东南 南,2室2厅2卫,SH1686971843543564288,22500
尚海湾豪庭,徐汇,徐汇滨江,尚海湾豪庭,125,南,2室2厅2卫,SH1686709004786466816,22000
仁恒河滨城(一期),浦东,联洋,仁恒河滨城(一期),193,南,4室2厅2卫,SH1688837766256787456,31000
郁庭峰,长宁,北新泾,郁庭峰,207,南,4室2厅2卫,SH1694244042914660352,23000
绿地海珀风华(别墅),青浦,赵巷,绿地海珀风华(别墅),374,南,4室2厅4卫,SH1694296510872682496,38000
恒盛苑,闵行,金虹桥,恒盛苑,138,南 北,3室2厅2卫,SH1685555089952997376,25000
浦发壹滨江,浦东,洋泾,浦发壹滨江,155,南,3室2厅2卫,SH1685965661857120256,28000
万科提香别墅,浦东,康桥,万科提香别墅,415,南,4室3厅4卫,SH1686298688898465792,50000
远雄徐汇园,徐汇,斜土路,远雄徐汇园,126,南,2室2厅2卫,SH1686357492059078656,32000
百汇园,徐汇,徐汇滨江,百汇园,133,南,2室2厅2卫,SH1679002950384484352,25000
农房熙藏苑,静安,西藏北路,农房熙藏苑,196,南 北,3室2厅2卫,SH1686724886954770432,30000
君御豪庭,静安,江宁路,君御豪庭,174,南 北,3室2厅2卫,SH1679635534210662400,30000
国际丽都城,静安,南京西路,国际丽都城,177,南,3室2厅2卫,SH1687397600161955840,32000
翠湖天地御苑,黄浦,新天地,翠湖天地御苑,187,南,3室2厅2卫,SH1648180770688204800,49000
名都古北,闵行,金虹桥,名都古北,294,南 北,5室2厅4卫,SH1648888382899617792,39000
古北国际广场,长宁,古北,古北国际广场,130,南,2室2厅1卫,SH1648889052914515968,23000
城市一品苑,黄浦,淮海中路,城市一品苑,180,南,4室2厅2卫,SH1648699046858063872,42000
财富海景花园,浦东,陆家嘴,财富海景花园,327,南 西南 西,4室2厅3卫,SH1579682520859934720,55000
万科翡翠雅宾利,静安,西藏北路,万科翡翠雅宾利,184,南,3室2厅3卫,SH1579032950660399104,32000
中企滨江悦府,浦东,梅园,中企滨江悦府,167,南,3室2厅2卫,SH1578681552693362688,45000
陆家嘴中央公寓,浦东,杨东,陆家嘴中央公寓,171,南,3室2厅2卫,SH1581255755892260864,25500
陆家嘴中央公寓,浦东,杨东,陆家嘴中央公寓,135,南,2室2厅2卫,SH1651444576252067840,21000
仁恒滨江园,浦东,陆家嘴,仁恒滨江园,217,南 北,3室2厅3卫,SH1651191232581337088,35000
瑞虹新城璟庭,虹口,临平路,瑞虹新城璟庭,142,南,3室2厅2卫,SH2725248417797513216,26000
虹桥花苑,闵行,金虹桥,虹桥花苑,227,南,4室2厅3卫,SH2826685086337081344,27000
绿洲江南园,青浦,朱家角,绿洲江南园,733,南,6室3厅5卫,SH2828838590061223936,32000
蓝堡别墅,浦东,川沙,蓝堡别墅,373,南,6室2厅4卫,SH2861091432431616000,43000
大华锦绣华城(十七街区)(公寓),浦东,北蔡,大华锦绣华城(十七街区)(公寓),167,南,4室2厅2卫,SH2883473876392607744,26000
南山雨果(别墅),青浦,徐泾,南山雨果(别墅),332,南,4室2厅3卫,SH2883882706402279424,30000
艾格美国际公寓,静安,南京西路,艾格美国际公寓,123,南,2室1厅2卫,SH2883359645009707008,28000
家化滨江苑,浦东,塘桥,家化滨江苑,441,南,4室2厅3卫,SH1704768964032200704,70000
西郊庄园马德里洋房,闵行,华漕,西郊庄园马德里洋房,263,南,4室2厅5卫,SH1705938121268396032,39000
宝华城市之星,普陀,光新,宝华城市之星,149,南 北,3室2厅2卫,SH1705090640137682944,29000
黄浦新苑(公寓),黄浦,蓬莱公园,黄浦新苑(公寓),164,南,3室2厅2卫,SH1708013128874196992,21000
上海滩新昌城,黄浦,人民广场,上海滩新昌城,149,南 北,3室2厅2卫,SH1708070387973095424,23500
滨江凯旋门,浦东,陆家嘴,滨江凯旋门,300,南,4室2厅4卫,SH1706678683776843776,65000
龙湖天琅,闵行,老闵行,龙湖天琅,388,南 北,4室2厅1卫,SH1706950403322544128,35500
华盛大公馆,黄浦,人民广场,华盛大公馆,189,南,4室2厅2卫,SH1708427692480659456,23000
翡翠名都,闵行,金虹桥,翡翠名都,152,南,3室2厅2卫,SH1711328004698800128,30000
宝华海尚郡领,浦东,北蔡,宝华海尚郡领,162,南,4室2厅2卫,SH1711370705624367104,28000
天山怡景苑,长宁,天山,天山怡景苑,155,南 北,3室2厅2卫,SH1709551301211193344,21500
绿洲仕格维花园,黄浦,打浦桥,绿洲仕格维花园,139,南 北,2室2厅2卫,SH1710495714917744640,21000
翡翠名都,闵行,金虹桥,翡翠名都,169,南,3室2厅2卫,SH1711970711679008768,30500
江临天下,浦东,陆家嘴,江临天下,163,南,4室2厅2卫,SH1679340015311650816,23000
静安四季苑,静安,南京西路,静安四季苑,154,南,3室2厅2卫,SH1679374875929608192,33000
保辉香景园,杨浦,新江湾城,保辉香景园,259,南,4室3厅2卫,SH1679356443540586496,23500
保辉香景园,杨浦,新江湾城,保辉香景园,211,南 北,4室2厅2卫,SH1680175385523781632,21000
晶耀名邸三期,浦东,杨思前滩,晶耀名邸三期,112,南 北,3室2厅1卫,SH1681540582125600768,23000
鸿玺郡(北区)(别墅),青浦,朱家角,鸿玺郡(北区)(别墅),343,南 北,4室2厅3卫,SH1688544083762479104,22000
仁恒西郊花园,青浦,徐泾,仁恒西郊花园,223,东南,4室2厅3卫,SH1688533565240770560,26000
西郊宝成花苑,长宁,西郊,西郊宝成花苑,225,南,3室2厅3卫,SH1680841222043729920,25000
企业公馆,静安,不夜城,企业公馆,168,北,2室2厅2卫,SH1579758778344013824,26500
申江新苑,黄浦,黄浦滨江,申江新苑,149,南,3室2厅2卫,SH1590547919268741120,28000
天马高尔夫别墅,松江,佘山,天马高尔夫别墅,451,南,5室2厅5卫,SH1590619503467692032,45000
名都城(公寓),闵行,金虹桥,名都城(公寓),155,南,3室2厅2卫,SH1591403459217719296,25000
九庐,浦东,梅园,九庐,152,南,2室2厅2卫,SH1601780811202297856,49000
复兴珑御一期,黄浦,老西门,复兴珑御一期,197,南,3室2厅3卫,SH1601775362381971456,60000
虹桥融景,青浦,徐泾,虹桥融景,447,南,4室2厅4卫,SH1603380088273895424,100000
里昂花园,长宁,古北,里昂花园,178,南,4室2厅2卫,SH1604359688231583744,26500
尚海湾豪庭,徐汇,徐汇滨江,尚海湾豪庭,166,南 北,3室2厅2卫,SH1631593822808965120,26000
西郊庄园马德里洋房,闵行,华漕,西郊庄园马德里洋房,282,南 北,4室2厅4卫,SH1637388084637073408,45000
