title,location,building_location1,building_location2,area,direction,type,description,price
安栢丽晶,福田区,景田,安栢丽晶,309,南,6室2厅2卫,SZ1714945025797783552,30000
深业中城,福田区,香蜜湖,深业中城,137,南,3室2厅2卫,SZ1689240564920221696,34000
卓越维港北区,南山区,深圳湾,卓越维港北区,142,东南,4室2厅2卫,SZ1653600922292453376,24600
新天CBC,福田区,石厦,新天CBC,206,东南,5室1厅1卫,SZ1570633174717825024,30000
海岸城,南山区,后海,海岸城,303,东南,1室0厅0卫,SZ1713050828660539392,33500
华润城润玺一期,南山区,科技园,华润城润玺一期,120,东,3室1厅2卫,SZ1717858793297018880,24000
华润城润玺一期,南山区,科技园,华润城润玺一期,120,东,3室2厅2卫,SZ1717894400996016128,25000
东海国际公寓,福田区,香蜜湖,东海国际公寓,187,南,3室2厅3卫,SZ1718940097484685312,32000
城市绿洲花园,福田区,华强北,城市绿洲花园,220,南,4室2厅3卫,SZ1706592800264421376,22000
华润城润玺一期,南山区,科技园,华润城润玺一期,116,南,3室1厅2卫,SZ1718111199456919552,22000
卓越维港南区,南山区,深圳湾,卓越维港南区,168,东南,4室2厅2卫,SZ1679127704315625472,22000
招商华侨城曦城三期,宝安区,曦城,招商华侨城曦城三期,297,南,5室2厅3卫,SZ2737583360598605824,70000
华润前海中心·悦玺,南山区,前海,华润前海中心·悦玺,124,东南,2室1厅1卫,SZ1716766395561148416,21000
华润城润玺一期,南山区,科技园,华润城润玺一期,200,东南,4室2厅3卫,SZ1718529438703943680,60000
半山臻境,南山区,蛇口,半山臻境,180,南,4室2厅3卫,SZ1716454571120787456,30000
海馨苑,福田区,华强北,海馨苑,180,南,5室2厅2卫,SZ1696725296889200640,28000
南海玫瑰花园二期,南山区,蛇口,南海玫瑰花园二期,223,南,4室2厅3卫,SZ1696047146685431808,40000
半岛城邦花园四期,南山区,蛇口,半岛城邦花园四期,135,南,3室2厅2卫,SZ1702294211476324352,26000
半岛城邦花园四期,南山区,蛇口,半岛城邦花园四期,114,东南 南,3室1厅2卫,SZ1705192877941850112,28000
招商华侨城曦城六期,宝安区,曦城,招商华侨城曦城六期,223,南,6室2厅4卫,SZ2860734509098745856,38000
皇庭港湾,南山区,深圳湾,皇庭港湾,176,东 东南,4室2厅2卫,SZ1664980604938092544,21800
世界花园海华居,南山区,华侨城,世界花园海华居,297,南,6室2厅5卫,SZ1671467809646837760,20800
皇庭港湾,南山区,深圳湾,皇庭港湾,177,东南,4室2厅2卫,SZ1652897281147404288,23800
皇庭港湾,南山区,深圳湾,皇庭港湾,177,东南,4室2厅2卫,SZ1679480694146859008,23000
深业鹤塘岭花园,南山区,华侨城,深业鹤塘岭花园,150,南,4室2厅2卫,SZ1718568733808525312,25000
香蜜湖唯珍府,福田区,香梅北,香蜜湖唯珍府,165,西南,5室3厅4卫,SZ1712459298241511424,98000
太古城北,南山区,深圳湾,太古城北,138,东南,4室2厅3卫,SZ1642124641302478848,24000
金地香蜜山,福田区,香蜜湖,金地香蜜山,196,南,3室2厅2卫,SZ1710155087860465664,40000
华润深圳湾悦府二期,南山区,深圳湾,华润深圳湾悦府二期,233,北,3室2厅4卫,SZ1694251883310350336,90000
中央花园,福田区,石厦,中央花园,240,南 北,3室1厅2卫,SZ2805180599693230080,26000
华润城润府二期,南山区,科技园,华润城润府二期,190,南,4室2厅2卫,SZ1683005894536724480,35000
海岸城,南山区,后海,海岸城,303,东南,1室0厅0卫,SZ1713050828660539392,33500
新天CBC,福田区,石厦,新天CBC,206,东南,5室1厅1卫,SZ1570633174717825024,30000
海岸明珠园,南山区,南山中心,海岸明珠园,138,西,3室2厅2卫,SZ1687695562750558208,23000
中信红树湾南区,南山区,红树湾,中信红树湾南区,179,东南,3室2厅2卫,SZ1666361100616073216,23000
华润城润府二期,南山区,科技园,华润城润府二期,230,东北,4室2厅3卫,SZ1713567194727579648,45000
城市山谷三期,南山区,科技园,城市山谷三期,168,南,4室2厅2卫,SZ1633791587039313920,28000
阳光带海滨城一期,南山区,科技园,阳光带海滨城一期,177,东,5室2厅3卫,SZ2879823739657396224,26000
华润城万象府,南山区,科技园,华润城万象府,256,东北,3室2厅3卫,SZ1687356230575587328,51000
凯德公园1号,南山区,南山中心,凯德公园1号,193,南,4室2厅2卫,SZ1664918589259382784,28000
京基天涛轩,盐田区,梅沙,京基天涛轩,400,南 北,4室5厅5卫,SZ2772978243614556160,109220
东海国际公寓,福田区,香蜜湖,东海国际公寓,156,北,3室2厅2卫,SZ1701444096259784704,30000
星河国际花园,福田区,福田中心,星河国际花园,143,东南,4室1厅2卫,SZ1713042305016922112,26000
宝能城西区,南山区,大学城,宝能城西区,206,南,4室2厅3卫,SZ1688765949747920896,28000
城建仁山智水花园二期,龙华区,观澜,城建仁山智水花园二期,197,南,5室2厅3卫,SZ1653315537653989376,27000
发展兴苑,福田区,福田中心,发展兴苑,188,东北,4室2厅2卫,SZ1700084704830554112,25000
中信高尔夫别墅天籁,龙岗区,龙岗宝荷,中信高尔夫别墅天籁,306,东,6室4厅6卫,SZ1676510780570206208,30000
大康福盈门,福田区,华强南,大康福盈门,159,东,4室2厅2卫,SZ1686244405947662336,25000
天安高尔夫珑园,福田区,车公庙,天安高尔夫珑园,153,东南,3室2厅3卫,SZ1640333876356186112,28000
香荔花园,福田区,香蜜湖,香荔花园,160,南 北,5室2厅2卫,SZ1707225052367290368,23000
深圳湾公馆,南山区,后海,深圳湾公馆,88,东南,3室2厅2卫,SZ1707295456385564672,24000
东海国际公寓,福田区,香蜜湖,东海国际公寓,140,北,2室1厅2卫,SZ1703346542435368960,35000
天安高尔夫珑园,福田区,车公庙,天安高尔夫珑园,153,南,3室2厅2卫,SZ1703639570203017216,27000
半岛城邦花园三期,南山区,蛇口,半岛城邦花园三期,168,南,5室2厅2卫,SZ1703651717901451264,31000
水湾1979一期,南山区,蛇口,水湾1979一期,168,南,4室2厅2卫,SZ1703715992091230208,22000
皇庭港湾,南山区,深圳湾,皇庭港湾,177,东南,4室2厅2卫,SZ1652897281147404288,23800
万科瑧山府,福田区,竹子林,万科瑧山府,230,南 北,4室2厅2卫,SZ1712370744962318336,55000
万科瑧山府,福田区,竹子林,万科瑧山府,230,南,4室2厅4卫,SZ2764527385834422272,60000
新天CBC,福田区,石厦,新天CBC,308,西南,4室2厅1卫,SZ1702192970121347072,36000
天鹅堡,南山区,华侨城,天鹅堡,253,西南,4室2厅2卫,SZ1702171532983271424,28000
紫元元大厦,福田区,皇岗,紫元元大厦,122,东,2室2厅2卫,SZ1702166180959092736,28000
南海玫瑰花园一期,南山区,蛇口,南海玫瑰花园一期,270,南,5室2厅4卫,SZ1697534279556268032,60000
天鹅湖花园三期,南山区,华侨城,天鹅湖花园三期,123,南,3室2厅2卫,SZ1697826797057474560,23800
鸿荣源熙园山院,龙华区,梅林关,鸿荣源熙园山院,200,南 北,5室2厅4卫,SZ1702284892512976896,40000
香山美墅云颂,南山区,华侨城,香山美墅云颂,165,东南,4室2厅2卫,SZ1702293753177309184,26000
深圳湾1号,南山区,深圳湾,深圳湾1号,170,南,1室1厅1卫,SZ1702638615550492672,52000
侨城坊,南山区,华侨城,侨城坊,114,南,1室2厅2卫,SZ1664854221486292992,30000
半岛城邦花园二期,南山区,蛇口,半岛城邦花园二期,245,西南,5室2厅2卫,SZ1665269853637836800,28000
中海大山地北区,龙岗区,横岗,中海大山地北区,231,南,8室2厅5卫,SZ1648627950989344768,21000
半岛城邦花园四期,南山区,蛇口,半岛城邦花园四期,113,南 北,2室2厅2卫,SZ1648974505265070080,25000
碧海云天二期,福田区,竹子林,碧海云天二期,220,南,4室2厅3卫,SZ1668579934571855872,24000
漾日湾畔,南山区,后海,漾日湾畔,183,东南,4室2厅2卫,SZ1672079183943041024,23000
京基滨河时代,福田区,上下沙,京基滨河时代,185,南,4室2厅2卫,SZ1670018881827110912,25000
天鹅堡,南山区,华侨城,天鹅堡,164,东,3室1厅2卫,SZ1670324536412733440,22000
瑧湾汇,南山区,红树湾,瑧湾汇,88,西,5室2厅3卫,SZ1649617198123057152,26000
半岛城邦花园二期,南山区,蛇口,半岛城邦花园二期,245,西南,5室2厅2卫,SZ1665269853637836800,28000
熙园,福田区,香蜜湖,熙园,199,南,4室1厅2卫,SZ1666669230520532992,38000
香山美墅云颂,南山区,华侨城,香山美墅云颂,175,东南,4室2厅2卫,SZ1652539190555967488,28000
香山里花园一期,南山区,华侨城,香山里花园一期,176,东南,4室2厅2卫,SZ1653011275434688512,23000
东海花园二期福禄居,福田区,香蜜湖,东海花园二期福禄居,550,南,7室2厅4卫,SZ1653737431985291264,110000
华润城润府二期,南山区,科技园,华润城润府二期,190,西北,4室2厅3卫,SZ1653981425214423040,32000
博海名苑,南山区,科技园,博海名苑,140,东南,4室2厅3卫,SZ1654406688029016064,28000
京基滨河时代,福田区,上下沙,京基滨河时代,200,南,5室2厅3卫,SZ1646889134238728192,29000
大康福盈门,福田区,华强南,大康福盈门,159,西,4室2厅1卫,SZ1623991757660225536,26000
地王大厦信兴广场,罗湖区,地王,地王大厦信兴广场,125,东南,1室0厅1卫,SZ1638815266919940096,21000
和平广场,罗湖区,地王,和平广场,168,西北,5室2厅2卫,SZ2866095364409131008,33000
华润城润府三期,南山区,科技园,华润城润府三期,187,东南,4室2厅3卫,SZ1696894125359497216,35000
阳光粤海,南山区,科技园,阳光粤海,240,南 北,5室2厅4卫,SZ1663848076084772864,26000
天健·天骄,福田区,景田,天健·天骄,123,南,3室2厅1卫,SZ1697547765069905920,27000
博海名苑,南山区,科技园,博海名苑,140,南,4室2厅2卫,SZ1688530088573796352,29000
波托菲诺纯水岸七期,南山区,华侨城,波托菲诺纯水岸七期,175,南,4室2厅2卫,SZ1688918856237580288,30000
万科兰乔圣菲,宝安区,宝安中心,万科兰乔圣菲,426,南,9室3厅4卫,SZ1689205953854963712,100000
中信红树湾南区,南山区,红树湾,中信红树湾南区,224,东,4室1厅2卫,SZ1694263404006473728,23000
汉京九榕台,南山区,前海,汉京九榕台,176,南,4室1厅2卫,SZ1694624357977948160,35000
合正香蜜原著,福田区,香蜜湖,合正香蜜原著,125,南,4室2厅2卫,SZ1694580802240643072,25000
香山美墅三期,南山区,华侨城,香山美墅三期,186,西南,4室2厅2卫,SZ1694973199432810496,28000
天鹅堡,南山区,华侨城,天鹅堡,232,南,2室2厅2卫,SZ1695001200467902464,30000
鸿威海怡湾,南山区,深圳湾,鸿威海怡湾,150,西南,5室1厅2卫,SZ1699640410244120576,25000
海月花园三期,南山区,蛇口,海月花园三期,209,南,5室2厅2卫,SZ1699669685592653824,25000
群星广场,福田区,华强北,群星广场,52,西,1室0厅0卫,SZ1694234712169512960,26000
天祥大厦,福田区,车公庙,天祥大厦,540,东南 西南,1室0厅0卫,SZ1694254154777624576,59400
瑧湾汇,南山区,红树湾,瑧湾汇,87,南 西南,3室2厅2卫,SZ1694578598448463872,25000
华润城润府三期,南山区,科技园,华润城润府三期,190,东南,4室2厅3卫,SZ1694636249920307200,35000
香蜜湖水榭花都,福田区,香蜜湖,香蜜湖水榭花都,148,南,3室2厅2卫,SZ1695035436319113216,30000
新天CBC,福田区,石厦,新天CBC,198,南,4室1厅1卫,SZ1702194377054486528,23000
皇庭港湾,南山区,深圳湾,皇庭港湾,177,南,4室2厅2卫,SZ1705403172635279360,27000
岗厦天元花园,福田区,福田中心,岗厦天元花园,142,东 南 西,3室2厅2卫,SZ1705600332651823104,33000
华润城润府一期,南山区,科技园,华润城润府一期,166,西南 东北,4室2厅2卫,SZ1706179594865868800,24800
万科俊园,罗湖区,黄贝岭,万科俊园,335,南,6室2厅4卫,SZ1706193594940915712,28000
观澜湖,龙华区,观澜,观澜湖,190,南,5室2厅5卫,SZ1705825092652498944,45000
半山海景别墅,南山区,蛇口,半山海景别墅,360,东,8室2厅5卫,SZ1705887149062094848,130000
纯海岸,南山区,科技园,纯海岸,191,东,3室2厅2卫,SZ1702178783324274688,28000
深业上城,福田区,莲花,深业上城,362,南 西南,4室2厅3卫,SZ1702180695402610688,48000
百花园二期,福田区,百花,百花园二期,157,南,4室2厅2卫,SZ1702266161179131904,26000
华润城润玺一期,南山区,科技园,华润城润玺一期,120,东,3室1厅2卫,SZ1717858793297018880,24000
华润城润玺一期,南山区,科技园,华润城润玺一期,120,东,3室2厅2卫,SZ1717894400996016128,25000
东海国际公寓,福田区,香蜜湖,东海国际公寓,187,南,3室2厅3卫,SZ1718940097484685312,32000
城市绿洲花园,福田区,华强北,城市绿洲花园,220,南,4室2厅3卫,SZ1706592800264421376,22000
华润城润玺一期,南山区,科技园,华润城润玺一期,116,南,3室1厅2卫,SZ1718111199456919552,22000
卓越维港南区,南山区,深圳湾,卓越维港南区,168,东南,4室2厅2卫,SZ1679127704315625472,22000
皇庭港湾,南山区,深圳湾,皇庭港湾,176,东 东南,4室2厅2卫,SZ1664980604938092544,21800
世界花园海华居,南山区,华侨城,世界花园海华居,297,南,6室2厅5卫,SZ1671467809646837760,20800
瑧湾汇,南山区,红树湾,瑧湾汇,254,南,4室2厅4卫,SZ1719350446084063232,55000
皇庭港湾,南山区,深圳湾,皇庭港湾,176,南,3室2厅2卫,SZ1672831373674545152,21800
皇庭港湾,南山区,深圳湾,皇庭港湾,177,东南,4室2厅2卫,SZ1679480694146859008,23000
深圳湾1号,南山区,深圳湾,深圳湾1号,470,南,3室2厅3卫,SZ1651975776976764928,380000
宝能公馆,福田区,竹子林,宝能公馆,128,南,4室2厅2卫,SZ1718947962026983424,25000
深业鹤塘岭花园,南山区,华侨城,深业鹤塘岭花园,150,南,4室2厅2卫,SZ1718568733808525312,25000
香蜜湖唯珍府,福田区,香梅北,香蜜湖唯珍府,165,西南,5室3厅4卫,SZ1712459298241511424,98000
中信高尔夫别墅天籁,龙岗区,龙岗宝荷,中信高尔夫别墅天籁,306,东,6室4厅6卫,SZ1676510780570206208,30000
大康福盈门,福田区,华强南,大康福盈门,159,东,4室2厅2卫,SZ1686244405947662336,25000
南海玫瑰花园二期,南山区,蛇口,南海玫瑰花园二期,223,东南 南,4室2厅3卫,SZ1702893055910084608,29000
万科第五园三期,龙岗区,坂田,万科第五园三期,227,南,5室4厅5卫,SZ1702901113428115456,32000
卓越前海壹号,南山区,前海,卓越前海壹号,207,南,3室2厅3卫,SZ1702910884814258176,28000
天安高尔夫珑园,福田区,车公庙,天安高尔夫珑园,195,东南,4室2厅2卫,SZ1698179390334042112,30000
海怡东方花园,南山区,科技园,海怡东方花园,152,南,4室2厅2卫,SZ1698199742766383104,26000
求是大厦,福田区,竹子林,求是大厦,144,南,2室1厅1卫,SZ1698294040866324480,20050
三湘海尚花园,南山区,深圳湾,三湘海尚花园,208,东南 南,4室2厅2卫,SZ1698635259031060480,38000
雅颂居,福田区,福田中心,雅颂居,139,南,3室2厅2卫,SZ1698629120600047616,23000
莲花山庄三村,龙岗区,布吉街,莲花山庄三村,170,北,8室3厅6卫,SZ1698647648669532160,21000
水湾1979一期,南山区,蛇口,水湾1979一期,255,东南,5室2厅3卫,SZ1698645385108520960,38000
中信红树湾北区,南山区,红树湾,中信红树湾北区,167,东南 西南,3室2厅2卫,SZ1702999797310423040,25000
华润深圳湾瑞府,南山区,深圳湾,华润深圳湾瑞府,396,东,4室2厅4卫,SZ1703329658935705600,250000
加福广场华尔登府邸,福田区,福田保税区,加福广场华尔登府邸,220,西南 西北,4室2厅2卫,SZ1703402675401392128,25000
半岛城邦花园四期,南山区,蛇口,半岛城邦花园四期,117,南,2室2厅2卫,SZ1698981968655417344,24000
天安高尔夫珑园,福田区,车公庙,天安高尔夫珑园,153,东,3室2厅2卫,SZ1698998578321555456,21000
恒裕滨城一期,南山区,深圳湾,恒裕滨城一期,145,东南,3室2厅3卫,SZ1699292316776267776,23000
云顶翠峰二期,福田区,皇岗,云顶翠峰二期,218,南 北,5室2厅3卫,SZ1699317203632914432,23000
深房传麒山东区,光明区,公明,深房传麒山东区,258,南 北,8室2厅4卫,SZ1670391558748241920,35000
港铁天颂,龙华区,上塘,港铁天颂,209,东南,4室2厅2卫,SZ1670826532362256384,32000
东海花园,福田区,香蜜湖,东海花园,154,南,4室2厅2卫,SZ1659489954939535360,22000
熙龙湾一期,宝安区,宝安中心,熙龙湾一期,273,东 东南,8室4厅5卫,SZ1659476404846198784,38000
深业上城,福田区,莲花,深业上城,282,南,4室2厅4卫,SZ1659454781187424256,45000
京基御景东方,南山区,红树湾,京基御景东方,193,北 东北,4室3厅3卫,SZ1660134129540268032,26000
半岛城邦花园二期,南山区,蛇口,半岛城邦花园二期,245,南 北,4室2厅4卫,SZ1660255939896279040,30000
华侨苑,龙华区,龙华中心,华侨苑,300,东南,9室6厅6卫,SZ1660612287230115840,24000
半岛城邦花园一期,南山区,蛇口,半岛城邦花园一期,220,南,4室2厅2卫,SZ1660579318629138432,35000
深业上城,福田区,莲花,深业上城,278,南,4室2厅3卫,SZ1660968892241018880,51000
育德佳园,南山区,后海,育德佳园,42,南,1室0厅1卫,SZ1671140032645169152,25000
华润城润府一期,南山区,科技园,华润城润府一期,166,东北,4室2厅2卫,SZ1671090014676582400,28000
博海名苑,南山区,科技园,博海名苑,141,南,5室2厅2卫,SZ1671110684001173504,28000
深业上城,福田区,莲花,深业上城,226,南 北,3室2厅4卫,SZ1671434558794366976,40000
阳光带海滨城一期,南山区,科技园,阳光带海滨城一期,180,东南,4室2厅2卫,SZ1672164222877827072,30000
天鹅湖花园二期,南山区,华侨城,天鹅湖花园二期,260,西南,4室2厅2卫,SZ1661663921670455296,100000
龙华金茂府,龙华区,上塘,龙华金茂府,156,西北 北,3室2厅3卫,SZ1663147673361842176,23000
东海国际公寓,福田区,香蜜湖,东海国际公寓,198,东南,3室2厅4卫,SZ1663202148269162496,52000
星河国际花园,福田区,福田中心,星河国际花园,239,南,5室2厅2卫,SZ1654728336900882432,35000
波托菲诺纯水岸七期,南山区,华侨城,波托菲诺纯水岸七期,235,东南 南,3室2厅3卫,SZ1654481766343245824,40000
西丽山庄,南山区,大学城,西丽山庄,667,东南 西北,1室1厅1卫,SZ1654731369013575680,40000
岗厦天元花园,福田区,福田中心,岗厦天元花园,238,西,3室2厅4卫,SZ1667466755267624960,48000
汉京九榕台,南山区,前海,汉京九榕台,172,南,4室2厅3卫,SZ1668142764753158144,35000
华润前海中心·悦玺,南山区,前海,华润前海中心·悦玺,271,西,4室2厅3卫,SZ1668194221263159296,40000
香蜜湖唯珍府,福田区,香梅北,香蜜湖唯珍府,180,西南,5室2厅2卫,SZ1668121088900464640,27000
香蜜湖唯珍府,福田区,香梅北,香蜜湖唯珍府,180,西南,5室2厅2卫,SZ1668122214316113920,27000
新天CBC,福田区,石厦,新天CBC,162,南,3室2厅2卫,SZ1668820650732552192,23000
阳光带海滨城二期,南山区,科技园,阳光带海滨城二期,147,南 北,4室2厅2卫,SZ1668935331887448064,23000
颐湾府,南山区,前海,颐湾府,191,南,4室2厅3卫,SZ1668907531558191104,25000
珑御府,南山区,科技园,珑御府,180,南,3室2厅4卫,SZ1667125693730783232,42000
碧海云天二期,福田区,竹子林,碧海云天二期,220,南,4室2厅3卫,SZ1668579934571855872,24000
宝能公馆,福田区,竹子林,宝能公馆,95,北,1室1厅1卫,SZ1668916853822455808,22000
京基滨河时代,福田区,上下沙,京基滨河时代,185,南,4室2厅2卫,SZ1670018881827110912,25000
天鹅堡,南山区,华侨城,天鹅堡,164,东,3室1厅2卫,SZ1670324536412733440,22000
深房传麒山东区,光明区,公明,深房传麒山东区,258,南 北,8室2厅4卫,SZ1670391558748241920,35000
港铁天颂,龙华区,上塘,港铁天颂,209,东南,4室2厅2卫,SZ1670826532362256384,32000
东海花园,福田区,香蜜湖,东海花园,154,南,4室2厅2卫,SZ1659489954939535360,22000
华润前海中心·悦玺,南山区,前海,华润前海中心·悦玺,338,南,4室2厅4卫,SZ1694986040147705856,60000
御景台,宝安区,新安,御景台,290,东南 南,6室2厅3卫,SZ1695682637349257216,24000
卓越前海壹号,南山区,前海,卓越前海壹号,146,东南,3室2厅2卫,SZ1695695795396804608,21000
天安高尔夫珑园,福田区,车公庙,天安高尔夫珑园,153,南,3室2厅3卫,SZ1696055057553817600,25000
侨城坊,南山区,华侨城,侨城坊,220,南,2室2厅2卫,SZ1695763901846650880,60000
宏发领域,宝安区,宝安中心,宏发领域,225,西南,5室2厅2卫,SZ1696006702580629504,23000
百仕达红树西岸,南山区,红树湾,百仕达红树西岸,190,南 北,4室2厅3卫,SZ1696035132860792832,42000
华润城润府三期,南山区,科技园,华润城润府三期,190,西南,4室2厅2卫,SZ1690354951089291264,45000
深勘大厦,福田区,华强北,深勘大厦,295,南,3室1厅0卫,SZ1690596103478575104,25000
天安高尔夫珑园,福田区,车公庙,天安高尔夫珑园,153,南,3室1厅2卫,SZ1696390535893221376,22000
深业上城,福田区,莲花,深业上城,110,南,1室2厅2卫,SZ1696513446322896896,22000
深业中城,福田区,香蜜湖,深业中城,112,西,2室1厅1卫,SZ1696519887343583232,26000
岗厦天元花园,福田区,福田中心,岗厦天元花园,94,东,1室1厅1卫,SZ1696526335049990144,21000
翡翠海岸,南山区,深圳湾,翡翠海岸,176,东南 南,4室2厅2卫,SZ1696421428397604864,33000
天安高尔夫珑园,福田区,车公庙,天安高尔夫珑园,153,南,3室1厅2卫,SZ1696738016011223040,28000
